date,spread_10y_2y_ma3,spread_10y_3m_ma3,cpi_yoy_pct_ma3,indpro_yoy_pct_ma3,unrate_chg_3m_ma3,UNRATE,recession_next_6m
1981-11-30,-0.33915343915343854,0.893677248677248,10.272140309745259,1.4263724992400286,0.5666666666666668,8.3,1
1981-12-31,0.18348003848003933,1.7899543049543045,9.587674308185493,-0.7885043074784845,0.8333333333333336,8.5,1
1982-01-31,0.32373400673400593,2.042906685906685,8.916119007772812,-2.7636889884403755,0.8333333333333334,8.6,1
1982-02-28,0.020771043771044145,1.409202982202982,8.260851378206112,-3.0042047279316773,0.7333333333333331,8.9,1
1982-03-31,-0.23494041867954962,0.7895442834138476,7.5851309813608205,-3.0606223483974646,0.5999999999999996,9.0,1
1982-04-30,-0.35376581550494574,0.4065919024614673,7.040095166192491,-2.810128936835765,0.6000000000000002,9.3,1
1982-05-31,-0.2726732229123545,0.6607215320910965,6.8061925953334,-3.745067474399392,0.566666666666667,9.4,1
1982-06-30,-0.21696176046176183,0.885517316017315,6.905340793829332,-4.541578108081971,0.6000000000000002,9.6,1
1982-07-31,-0.05712049062049177,1.4040887445887436,6.883875380742791,-5.489347534409942,0.5333333333333332,9.8,1
1982-08-31,0.2381673881673875,2.4538311688311683,6.56833011093929,-6.287278081559447,0.5,9.8,1
1982-09-30,0.4787085137085138,3.4289249639249637,5.821197876248388,-6.768752184312828,0.4666666666666668,10.1,1
1982-10-31,0.6686926406926403,3.714305916305916,5.312778831303906,-6.998135847177249,0.5,10.4,1
1982-11-30,0.6764837092731829,3.0964670008354216,4.816885197520548,-6.718590030888264,0.6999999999999998,10.8,1
1982-12-31,0.7838213716108449,2.493494417862838,4.445149725547762,-6.399768589984434,0.7666666666666669,10.8,0
1983-01-31,0.9206626414521152,2.2938277511961718,4.003652126980157,-4.7668677168456535,0.566666666666667,10.4,0
1983-02-28,1.031890711627554,2.3359330143540666,3.6726776435367583,-4.248126173736811,0.10000000000000024,10.4,0
1983-03-31,1.0227932149213619,2.1724942791762007,3.5942002398296142,-3.3593882221014297,-0.3000000000000001,10.3,0
1983-04-30,0.9236186117467587,2.021327612509534,3.691657866948257,-3.0159572819464384,-0.36666666666666714,10.2,0
1983-05-31,0.8577957211870254,1.8725807453416141,3.6771231912862423,-1.3997953032428712,-0.3333333333333339,10.1,0
1983-06-30,0.7965901875901871,1.8266255411255408,3.3051037557020018,0.026141072126114384,-0.23333333333333428,10.1,0
1983-07-31,0.7499235209235202,1.840292207792207,2.758095208693456,1.3537225425507098,-0.43333333333333357,9.4,0
1983-08-31,0.7114901185770742,1.9145158102766786,2.429900217109115,2.9854522848731357,-0.5333333333333332,9.5,0
1983-09-30,0.7771538992408544,2.1089458247066926,2.52634525715385,4.922117246824339,-0.7666666666666663,9.2,0
1983-10-31,0.8698205659075207,2.3174458247066934,2.657451663489614,6.867604812420484,-0.6999999999999998,8.8,0
1983-11-30,0.953199665831244,2.4747761069340015,2.8930402694540125,8.368059591241845,-0.8333333333333334,8.5,0
1983-12-31,0.996215538847118,2.5346173767752718,3.234220753930302,9.716241060932092,-0.8333333333333327,8.3,0
1984-01-31,1.0168504594820391,2.4871094402673353,3.7468202047835333,10.489397981194065,-0.8999999999999998,8.0,0
1984-02-29,1.027201336675022,2.4216708437761074,4.25702428641618,11.379661226763782,-0.7999999999999998,7.8,0
1984-03-31,1.0310974405711253,2.407551074656338,4.625645280806008,11.693601329873209,-0.6666666666666673,7.8,0
1984-04-30,1.0029625199362044,2.4575590111642747,4.713833260774006,11.711279369603778,-0.5000000000000003,7.7,0
1984-05-31,0.9635606060606055,2.7251666666666665,4.594099883552149,11.309314438658335,-0.4000000000000001,7.4,0
1984-06-30,0.8474422799422788,3.0161118326118324,4.405096341402203,10.948403760550917,-0.43333333333333296,7.2,0
1984-07-31,0.6931962481962474,3.106421356421356,4.3230834627434005,10.394734416905026,-0.39999999999999974,7.5,0
1984-08-31,0.47423050379571957,2.6498205659075214,4.310092421526563,9.474107199885392,-0.2333333333333334,7.5,0
1984-09-30,0.3614652573462636,2.1246409502015897,4.295730018689888,8.021259399995728,-2.9605947323337506e-16,7.3,0
1984-10-31,0.38669613757714316,1.8594677900284289,4.281481945824583,6.736408465665142,0.033333333333333215,7.4,0
1984-11-30,0.6006778309409881,2.1368819776714503,4.234348070797529,5.802579568049278,-0.09999999999999994,7.2,0
1984-12-31,0.9340462519936198,2.6152679425837313,4.15452273047571,5.327037766108163,-0.13333333333333316,7.3,0
1985-01-31,1.2316725146198824,3.05806015037594,3.9078833738951224,4.4338904238801495,-0.13333333333333344,7.3,0
1985-02-28,1.3715555555555554,3.1593174603174603,3.7251950892754526,3.5228831604039335,-0.03333333333333351,7.2,0
1985-03-31,1.313015873015873,3.1137301587301587,3.6407600754840836,2.6609137679445247,-0.06666666666666672,7.2,0
1985-04-30,1.2771428571428576,3.0632539682539686,3.659375287051173,2.214961000543418,-0.033333333333333215,7.3,0
1985-05-31,1.3136075036075034,3.1172438672438667,3.648922423814175,1.6913163874001251,-0.033333333333333215,7.2,0
1985-06-30,1.4221471861471862,3.1008311688311685,3.607032131397443,1.143477932693208,0.06666666666666672,7.4,0
1985-07-31,1.4847878787878788,3.0266969696969697,3.5658363566146556,0.6189909049255206,0.10000000000000024,7.4,0
1985-08-31,1.463272727272728,2.975939393939394,3.4917067547489165,0.29525359011578134,0.06666666666666672,7.1,0
1985-09-30,1.4372727272727268,2.9972727272727266,3.3526923752955327,0.32351965433542107,-0.10000000000000024,7.1,0
1985-10-31,1.3834848484848479,2.9457575757575754,3.2782927138414046,0.5021696882129465,-0.23333333333333398,7.1,0
1985-11-30,1.3209330143540665,2.7270574162679417,3.3320526335017138,0.6188290655303206,-0.2333333333333337,7.0,0
1985-12-31,1.2283933318143845,2.356739955950482,3.513417882290477,0.8347877356401968,-0.16666666666666666,7.0,0
1986-01-31,1.121445279866333,2.0420718462823726,3.759583102841494,1.3446317608303247,-0.1999999999999996,6.7,0
1986-02-28,0.9668838763575606,1.7448788638262318,3.654491318017294,1.5180832357309828,-0.09999999999999964,7.2,0
1986-03-31,0.7840902255639097,1.440029657477025,3.108520937391179,1.0893523118517991,2.9605947323337506e-16,7.2,0
1986-04-30,0.634977671451356,1.1639401913875593,2.313612641709224,0.5883574731761415,0.2666666666666666,7.1,0
1986-05-31,0.6034906204906211,1.1509660894660894,1.8071491922584535,0.4195486884469914,0.19999999999999987,7.2,0
1986-06-30,0.6204112554112561,1.2804184704184711,1.6784437949353428,0.4222966967755705,0.13333333333333316,7.2,0
1986-07-31,0.6313203463203466,1.3604184704184705,1.7059518434258711,0.6822381957664531,-0.033333333333333215,7.0,0
1986-08-31,0.6970346320346321,1.3956565656565656,1.6714279844999211,0.7765311409286936,-0.13333333333333316,6.9,0
1986-09-30,0.8592568542568543,1.626450216450216,1.6681579718071118,0.9618269738816189,-0.19999999999999987,7.0,0
1986-10-31,1.0294083694083696,1.8929653679653675,1.6333283332394952,1.0174564047745047,-0.16666666666666666,7.0,0
1986-11-30,1.0741967291967287,1.9829918229918224,1.5362852562030547,1.2544359881755878,-0.06666666666666672,6.9,0
1986-12-31,0.9873569023569019,1.7612457912457906,1.3461461860315413,1.514362085555632,-0.13333333333333344,6.6,0
1987-01-31,0.8910993265993262,1.5623518518518515,1.2788318142174768,1.2222851051187886,-0.2666666666666669,6.6,0
1987-02-28,0.8506802232854863,1.478657894736842,1.488801177423774,1.5959671496373342,-0.36666666666666714,6.6,0
1987-03-31,0.8450741626794258,1.4962336523125999,2.0402062670808125,2.269930528756618,-0.2333333333333337,6.6,0
1987-04-30,0.8917646388699021,1.729781271360219,2.8118648153582293,3.4163496382282443,-0.20000000000000018,6.3,0
1987-05-31,0.891387445887446,2.1521233766233765,3.397002485791074,4.048348215496441,-0.19999999999999987,6.3,0
1987-06-30,0.8930541125541124,2.507123376623376,3.6990974615246137,4.707174416768509,-0.33333333333333304,6.2,0
1987-07-31,0.8950454545454539,2.6273181818181808,3.7814600726518237,5.207227816783803,-0.2999999999999998,6.1,0
1987-08-31,0.9470851370851365,2.547532467532467,3.9876588717321653,5.869430540202935,-0.2999999999999998,6.0,0
1987-09-30,1.0300865800865802,2.6317821067821066,4.16266302662663,6.2585306046041325,-0.2666666666666666,5.9,0
1987-10-31,1.0693650793650802,2.8322222222222226,4.3055884396711335,6.958408885304341,-0.2333333333333331,6.0,0
1987-11-30,1.1227903091060993,2.9800167084377613,4.385809886125521,7.359461561666696,-0.19999999999999987,5.8,0
1987-12-31,1.1400918964076858,3.055918584339637,4.405610783182733,7.5734943635447785,-0.16666666666666666,5.7,0
1988-01-31,1.1112280701754378,2.8865869218500797,4.330126461656447,7.584873700061057,-0.2333333333333334,5.7,0
1988-02-29,1.065763157894736,2.6862448165869215,4.132331054053151,7.275701555146752,-0.19999999999999987,5.7,0
1988-03-31,1.0567776506483595,2.511343630816171,3.965768421998908,7.140676640885901,-0.13333333333333316,5.7,0
1988-04-30,1.0878478260869564,2.502826086956522,3.9203142868673795,6.868743932057065,-0.13333333333333316,5.4,0
1988-05-31,1.108458937198068,2.591246721877157,3.9358814870404633,6.591040155237664,-0.13333333333333344,5.6,0
1988-06-30,1.0392626262626272,2.509178210678211,3.979986700878771,6.197014936437003,-0.2333333333333334,5.4,0
1988-07-31,0.9219292929292937,2.3333448773448775,4.025703772761397,5.588136445314621,-0.13333333333333344,5.4,0
1988-08-31,0.7680645586297766,2.1087140974967067,4.068932145026075,5.187843744064879,-0.09999999999999994,5.6,0
1988-09-30,0.6408495514147692,1.8559723947550042,4.142289572369572,4.62185632807646,0.0,5.4,0
1988-10-31,0.529016218081436,1.5528057280883376,4.185895186082929,3.981098647107654,0.0,5.4,0
1988-11-30,0.41726984126984173,1.2105158730158738,4.230600025476557,3.342824534542403,-0.09999999999999994,5.3,0
1988-12-31,0.2517142857142864,0.9632142857142861,4.3062449303434756,2.9135352915090285,-0.13333333333333344,5.3,0
1989-01-31,0.07654761904761938,0.7413809523809528,4.380207948834225,2.900439310086489,-0.13333333333333344,5.4,0
1989-02-28,-0.08982957393483677,0.5407493734335839,4.513894465139604,2.6488254364585724,-0.06666666666666672,5.2,0
1989-03-31,-0.20281658692185012,0.3601866028708134,4.6742075173991315,2.435107732315045,-0.13333333333333316,5.0,0
1989-04-30,-0.2668165869218502,0.25351993620414603,4.857997874780168,1.912202056622492,-0.19999999999999987,5.2,0
1989-05-31,-0.25215151515151507,0.1838787878787874,5.06780976672485,1.587538549624638,-0.16666666666666666,5.2,0
1989-06-30,-0.18790909090909066,0.05963636363636304,5.16007232097911,1.1616803365235777,0.033333333333333215,5.3,0
1989-07-31,-0.02957575757575744,-0.054196969696970264,5.169792803115025,0.6080560953695618,0.09999999999999994,5.2,0
1989-08-31,0.01257839262187114,-0.11438801054018495,4.951543801386678,0.33726047956840216,0.09999999999999994,5.2,0
1989-09-30,0.024275362318840976,-0.00329710144927553,4.706762107416984,0.16623149316690564,0.0,5.3,0
1989-10-31,-0.03253416149068252,0.07556797791580443,4.548050382104395,0.1359346960913852,0.033333333333333215,5.3,0
1989-11-30,0.004380952380952745,0.07152380952381006,4.559110500249744,-0.02093991811539227,0.09999999999999994,5.4,0
1989-12-31,0.0553809523809529,-0.001642857142856613,4.627262459011919,-0.14586953945131528,0.13333333333333344,5.4,0
1990-01-31,0.08633333333333375,0.06518253968253962,4.830883738571071,-0.3483747839419995,0.13333333333333375,5.4,0
1990-02-28,0.09435338345864785,0.24537468671679244,5.0335933388394,-0.1343482788935811,0.03333333333333351,5.3,0
1990-03-31,0.061959444064707846,0.39942014126224673,5.232831190776924,0.13094323429199153,-0.06666666666666672,5.2,1
1990-04-30,0.0419832535885174,0.5448963317384378,5.070696780747785,0.579266975907078,-0.10000000000000024,5.4,1
1990-05-31,0.04640909090909062,0.6383333333333331,4.771444203062665,0.8732021675846525,-0.033333333333333215,5.4,1
1990-06-30,0.10215223665223643,0.6632323232323234,4.583555671868299,1.2014300383821306,0.03333333333333351,5.2,1
1990-07-31,0.18641414141414062,0.6137878787878787,4.619442517381947,1.8831124505591694,0.06666666666666672,5.5,1
1990-08-31,0.3782125603864734,0.7160869565217395,5.065246211814759,2.0573609050614894,0.13333333333333316,5.7,1
1990-09-30,0.6064247575460389,0.9833968980422068,5.5639867160951475,2.2238058389831656,0.36666666666666653,5.9,1
1990-10-31,0.7822689133901953,1.224356494001803,6.084089455601823,1.966391464423504,0.4666666666666668,5.9,1
1990-11-30,0.8160007974481654,1.2387695374800636,6.2482834303358095,1.3782691038881598,0.5333333333333335,6.2,1
1990-12-31,0.7984393939393936,1.182181818181818,6.276642343789728,0.25505232968112335,0.4333333333333333,6.3,1
1991-01-31,0.8400555555555552,1.3028095238095236,6.0324668426482795,-0.6551148262361434,0.4666666666666665,6.4,1
1991-02-28,0.9051871345029244,1.5151165413533836,5.738169119587657,-1.5599740081925253,0.43333333333333296,6.6,1
1991-03-31,0.9871871345029245,1.8121165413533837,5.260236559631636,-2.3860382978291184,0.4666666666666665,6.8,1
1991-04-30,1.0286012759170653,1.9895191387559807,4.981193677932793,-3.10240149868863,0.39999999999999974,6.7,0
1991-05-31,1.1273333333333329,2.221409090909091,4.888645911343584,-3.0747413882799814,0.36666666666666686,6.9,0
1991-06-30,1.234333333333333,2.3935757575757584,4.846902272359805,-2.5475549781697153,0.2333333333333337,6.9,0
1991-07-31,1.3223636363636366,2.496303030303031,4.699530910200189,-2.0409804126474156,0.16666666666666696,6.8,0
1991-08-31,1.3832727272727274,2.48569696969697,4.2877093758775375,-1.854144110134137,0.06666666666666672,6.9,0
